data,label
we,0
we are,0
we are looking,0
we are looking for,0
we are looking for an,0
we are looking for an enthusiastic,0
we are looking for an enthusiastic junior,0
we are looking for an enthusiastic junior software,0
we are looking for an enthusiastic junior software developer,0
we are looking for an enthusiastic junior software developer to,0
we are looking for an enthusiastic junior software developer to join,0
we are looking for an enthusiastic junior software developer to join our,0
we are looking for an enthusiastic junior software developer to join our experienced,0
we are looking for an enthusiastic junior software developer to join our experienced software,0
we are looking for an enthusiastic junior software developer to join our experienced software design,0
we are looking for an enthusiastic junior software developer to join our experienced software design team,0
you,0
you will,0
you will report,0
you will report directly,0
you will report directly to,0
you will report directly to the,0
you will report directly to the development,0
you will report directly to the development manager,0
you will report directly to the development manager and,0
you will report directly to the development manager and assist,0
you will report directly to the development manager and assist with,0
you will report directly to the development manager and assist with all,0
you will report directly to the development manager and assist with all functions,0
you will report directly to the development manager and assist with all functions of,0
you will report directly to the development manager and assist with all functions of software,1
you will report directly to the development manager and assist with all functions of software coding,1
you will report directly to the development manager and assist with all functions of software coding and,0
you will report directly to the development manager and assist with all functions of software coding and design,0
your,0
your primary,0
your primary focus,0
your primary focus will,0
your primary focus will be,0
your primary focus will be to,0
your primary focus will be to learn,0
your primary focus will be to learn the,0
your primary focus will be to learn the codebase,0
your primary focus will be to learn the codebase gather,0
your primary focus will be to learn the codebase gather user,0
your primary focus will be to learn the codebase gather user data,0
your primary focus will be to learn the codebase gather user data and,0
your primary focus will be to learn the codebase gather user data and respond,0
your primary focus will be to learn the codebase gather user data and respond to,0
your primary focus will be to learn the codebase gather user data and respond to requests,0
your primary focus will be to learn the codebase gather user data and respond to requests from,0
your primary focus will be to learn the codebase gather user data and respond to requests from senior,0
your primary focus will be to learn the codebase gather user data and respond to requests from senior developers,0
to,0
to ensure,0
to ensure success,0
to ensure success as,0
to ensure success as a,0
to ensure success as a junior,0
to ensure success as a junior software,0
to ensure success as a junior software developer,0
to ensure success as a junior software developer you,0
to ensure success as a junior software developer you should,0
to ensure success as a junior software developer you should have,0
to ensure success as a junior software developer you should have a,0
to ensure success as a junior software developer you should have a good,0
to ensure success as a junior software developer you should have a good working,0
to ensure success as a junior software developer you should have a good working knowledge,0
to ensure success as a junior software developer you should have a good working knowledge of,0
to ensure success as a junior software developer you should have a good working knowledge of basic,0
to ensure success as a junior software developer you should have a good working knowledge of basic programming,1
to ensure success as a junior software developer you should have a good working knowledge of basic programming languages,0
to ensure success as a junior software developer you should have a good working knowledge of basic programming languages the,0
to ensure success as a junior software developer you should have a good working knowledge of basic programming languages the ability,0
to ensure success as a junior software developer you should have a good working knowledge of basic programming languages the ability to,0
to ensure success as a junior software developer you should have a good working knowledge of basic programming languages the ability to learn,0
to ensure success as a junior software developer you should have a good working knowledge of basic programming languages the ability to learn new,0
to ensure success as a junior software developer you should have a good working knowledge of basic programming languages the ability to learn new technology,1
to ensure success as a junior software developer you should have a good working knowledge of basic programming languages the ability to learn new technology quickly,0
to ensure success as a junior software developer you should have a good working knowledge of basic programming languages the ability to learn new technology quickly and,0
to ensure success as a junior software developer you should have a good working knowledge of basic programming languages the ability to learn new technology quickly and the,0
to ensure success as a junior software developer you should have a good working knowledge of basic programming languages the ability to learn new technology quickly and the ability,0
to ensure success as a junior software developer you should have a good working knowledge of basic programming languages the ability to learn new technology quickly and the ability to,0
to ensure success as a junior software developer you should have a good working knowledge of basic programming languages the ability to learn new technology quickly and the ability to work,0
to ensure success as a junior software developer you should have a good working knowledge of basic programming languages the ability to learn new technology quickly and the ability to work in,0
to ensure success as a junior software developer you should have a good working knowledge of basic programming languages the ability to learn new technology quickly and the ability to work in a,0
to ensure success as a junior software developer you should have a good working knowledge of basic programming languages the ability to learn new technology quickly and the ability to work in a team,1
to ensure success as a junior software developer you should have a good working knowledge of basic programming languages the ability to learn new technology quickly and the ability to work in a team environment,1
ultimately,0
ultimately a,0
ultimately a top-class,1
ultimately a top-class junior,0
ultimately a top-class junior software,0
ultimately a top-class junior software developer,0
ultimately a top-class junior software developer provides,0
ultimately a top-class junior software developer provides valuable,0
ultimately a top-class junior software developer provides valuable support,0
ultimately a top-class junior software developer provides valuable support to,0
ultimately a top-class junior software developer provides valuable support to the,0
ultimately a top-class junior software developer provides valuable support to the design,0
ultimately a top-class junior software developer provides valuable support to the design team,0
ultimately a top-class junior software developer provides valuable support to the design team while,0
ultimately a top-class junior software developer provides valuable support to the design team while continually,0
ultimately a top-class junior software developer provides valuable support to the design team while continually improving,1
ultimately a top-class junior software developer provides valuable support to the design team while continually improving their,0
ultimately a top-class junior software developer provides valuable support to the design team while continually improving their coding,1
ultimately a top-class junior software developer provides valuable support to the design team while continually improving their coding and,0
ultimately a top-class junior software developer provides valuable support to the design team while continually improving their coding and design,1
ultimately a top-class junior software developer provides valuable support to the design team while continually improving their coding and design skills,0
junior,0
junior software,0
junior software developer,0
junior software developer responsibilities,0
junior software developer responsibilities assisting,0
junior software developer responsibilities assisting the,0
junior software developer responsibilities assisting the development,0
junior software developer responsibilities assisting the development manager,0
junior software developer responsibilities assisting the development manager with,0
junior software developer responsibilities assisting the development manager with all,0
junior software developer responsibilities assisting the development manager with all aspects,0
junior software developer responsibilities assisting the development manager with all aspects of,0
junior software developer responsibilities assisting the development manager with all aspects of software,1
junior software developer responsibilities assisting the development manager with all aspects of software design,1
junior software developer responsibilities assisting the development manager with all aspects of software design and,0
junior software developer responsibilities assisting the development manager with all aspects of software design and coding,1
attending,0
attending and,0
attending and contributing,0
attending and contributing to,0
attending and contributing to company,0
attending and contributing to company development,0
attending and contributing to company development meetings,0
learning,0
learning the,0
learning the codebase,0
learning the codebase and,0
learning the codebase and improving,0
learning the codebase and improving your,0
learning the codebase and improving your coding,1
learning the codebase and improving your coding skills,0
writing,1
writing and,0
writing and maintaining,1
writing and maintaining code,1
working,0
working on,0
working on minor,0
working on minor bug,0
working on minor bug fixes,0
monitoring,0
monitoring the,0
monitoring the technical,0
monitoring the technical performance,0
monitoring the technical performance of,0
monitoring the technical performance of internal,0
monitoring the technical performance of internal systems,0
responding,0
responding to,0
responding to requests,0
responding to requests from,0
responding to requests from the,0
responding to requests from the development,0
responding to requests from the development team,0
gathering,0
gathering information,0
gathering information from,0
gathering information from consumers,0
gathering information from consumers about,0
gathering information from consumers about program,0
gathering information from consumers about program functionality,0
writing,1
writing reports,0
conducting,0
conducting development,1
conducting development tests,1
junior,0
junior software,0
junior software developer,0
junior software developer requirements,0
junior software developer requirements bachelor’s,1
junior software developer requirements bachelor’s degree,1
junior software developer requirements bachelor’s degree in,0
junior software developer requirements bachelor’s degree in computer,1
junior software developer requirements bachelor’s degree in computer science,1
junior software developer requirements bachelor’s degree in computer science or,0
junior software developer requirements bachelor’s degree in computer science or computer,1
junior software developer requirements bachelor’s degree in computer science or computer engineering,1
knowledge,0
knowledge of,0
knowledge of basic,0
knowledge of basic coding,1
knowledge of basic coding languages,1
knowledge of basic coding languages including,0
knowledge of basic coding languages including c++,1
knowledge of basic coding languages including c++ html5,1
knowledge of basic coding languages including c++ html5 and,0
knowledge of basic coding languages including c++ html5 and javascript,1
basic,0
basic programming,1
basic programming experience,1
knowledge,0
knowledge of,0
knowledge of databases,1
knowledge of databases and,0
knowledge of databases and operating,1
knowledge of databases and operating systems,1
good,0
good working,0
good working knowledge,0
good working knowledge of,0
good working knowledge of email,1
good working knowledge of email systems,1
good working knowledge of email systems and,0
good working knowledge of email systems and microsoft,1
good working knowledge of email systems and microsoft office,1
good working knowledge of email systems and microsoft office software,0
ability,0
ability to,0
ability to learn,1
ability to learn new,0
ability to learn new software,0
ability to learn new software and,0
ability to learn new software and technologies,1
ability to learn new software and technologies quickly,1
ability,0
ability to,0
ability to follow,1
ability to follow instructions,0
ability to follow instructions and,0
ability to follow instructions and work,0
ability to follow instructions and work in,0
ability to follow instructions and work in a,0
ability to follow instructions and work in a team,1
ability to follow instructions and work in a team environment,1
detail-oriented,1